time,value
1698737400000,4095
1698737400008,4095
1698737400016,4095
1698737400024,4095
1698737400032,4095
1698737400040,4095
1698737400048,4095
1698737400056,4095
1698737400064,4095
1698737400072,4095
1698737400080,4095
1698737400088,4095
1698737400096,4095
1698737400104,4095
1698737400112,4095
1698737400120,4095
1698737400128,4095
1698737400136,4095
1698737400144,4095
1698737400152,4095
1698737400160,4095
1698737400168,4095
1698737400176,4095
1698737400184,4095
1698737400192,4095
1698737400200,4095
1698737400208,4095
1698737400216,4095
1698737400224,4095
1698737400232,4095
1698737400240,4095
1698737400248,4095
1698737400256,4095
1698737400264,4095
1698737400272,4095
1698737400280,4095
1698737400288,4095
1698737400296,4095
1698737400304,4095
1698737400312,4095
1698737400320,4095
1698737400328,4095
1698737400336,4095
1698737400344,4095
1698737400352,4095
1698737400360,4095
1698737400368,4095
1698737400376,4095
1698737400384,4095
1698737400392,4095
1698737400400,4095
1698737400408,4095
1698737400416,4095
1698737400424,4095
1698737400432,4095
1698737400440,4095
1698737400448,4095
1698737400456,4095
1698737400464,4095
1698737400472,4095
1698737400480,4095
1698737400488,4095
1698737400496,4095
1698737400504,4095
1698737400512,4095
1698737400520,4095
1698737400528,4095
1698737400536,4095
1698737400544,4095
1698737400552,4095
1698737400560,4095
1698737400568,4095
1698737400576,4095
1698737400584,4095
1698737400592,4095
1698737400600,4095
1698737400608,4095
1698737400616,4095
1698737400624,4095
1698737400632,4095
1698737400640,4095
1698737400648,4095
1698737400656,4095
1698737400664,4095
1698737400672,4095
1698737400680,4095
1698737400688,4095
1698737400696,4095
1698737400704,4095
1698737400712,4095
1698737400720,4095
1698737400728,4095
1698737400736,4095
1698737400744,4095
1698737400752,4095
1698737400760,4095
1698737400768,4095
1698737400776,4095
1698737400784,4095
1698737400792,4095
1698737400800,4095
1698737400808,4095
1698737400816,4095
1698737400824,4095
1698737400832,4095
1698737400840,4095
1698737400848,4095
1698737400856,4095
1698737400864,4095
1698737400872,4095
1698737400880,4095
1698737400888,4095
1698737400896,4095
1698737400904,4095
1698737400912,4095
1698737400920,4095
1698737400928,4095
1698737400936,4095
1698737400944,4095
1698737400952,4095
1698737400960,4095
1698737400968,4095
1698737400976,4095
1698737400984,4095
1698737400992,4095
1698737401000,4095
1698737401008,4095
1698737401016,4095
1698737401024,4095
1698737401032,4095
1698737401040,4095
1698737401048,4095
1698737401056,4095
1698737401064,4095
1698737401072,4095
1698737401080,4095
1698737401088,4095
1698737401096,4095
1698737401104,4095
1698737401112,4095
1698737401120,4095
1698737401128,4095
1698737401136,4095
1698737401144,4095
1698737401152,4095
1698737401160,4095
1698737401168,4095
1698737401176,4095
1698737401184,4095
1698737401192,4095
1698737401200,4095
1698737401208,4095
1698737401216,4095
1698737401224,4095
1698737401232,4095
1698737401240,4095
1698737401248,4095
1698737401256,4095
1698737401264,4095
1698737401272,4095
1698737401280,4095
1698737401288,4095
1698737401296,4017
1698737401304,3986
1698737401312,3945
1698737401320,3936
1698737401328,3936
1698737401336,3955
1698737401344,3974
1698737401352,4049
1698737401360,4095
1698737401368,4095
1698737401376,4095
1698737401384,4095
1698737401392,4095
1698737401400,4095
1698737401408,4095
1698737401416,4095
1698737401424,4095
1698737401432,4095
1698737401440,4095
1698737401448,4095
1698737401456,4095
1698737401464,4095
1698737401472,4095
1698737401480,4095
1698737401488,4095
1698737401496,4095
1698737401504,4095
1698737401512,4095
1698737401520,4095
1698737401528,4095
1698737401536,4095
1698737401544,4095
1698737401552,4095
1698737401560,4095
1698737401568,4095
1698737401576,4095
1698737401584,4095
1698737401592,4095
1698737401600,4095
1698737401608,4095
1698737401616,4095
1698737401624,4095
1698737401632,4095
1698737401640,4095
1698737401648,4095
1698737401656,4095
1698737401664,4095
1698737401672,4095
1698737401680,4095
1698737401688,4095
1698737401696,4095
1698737401704,4095
1698737401712,4095
1698737401720,4095
1698737401728,4095
1698737401736,4095
1698737401744,4095
1698737401752,4095
1698737401760,4095
1698737401768,4095
1698737401776,4095
1698737401784,4095
1698737401792,4095
1698737401800,4095
1698737401808,4095
1698737401816,4095
1698737401824,4095
1698737401832,4095
1698737401840,4095
1698737401848,4095
1698737401856,4095
1698737401864,4095
1698737401872,4095
1698737401880,4095
1698737401888,4095
1698737401896,4095
1698737401904,4095
1698737401912,4095
1698737401920,4095
1698737401928,4095
1698737401936,4095
1698737401944,4095
1698737401952,4095
1698737401960,4095
1698737401968,4095
1698737401976,4095
1698737401984,4095
1698737401992,4095
1698737402000,4095
1698737402008,4095
1698737402016,4095
1698737402024,4095
1698737402032,4095
1698737402040,4095
1698737402048,4095
1698737402056,4095
1698737402064,4095
1698737402072,4095
1698737402080,4095
1698737402088,4095
1698737402096,4095
1698737402104,4095
1698737402112,4095
1698737402120,4095
1698737402128,4095
1698737402136,4095
1698737402144,4095
1698737402152,4095
1698737402160,4095
1698737402168,4095
1698737402176,4095
1698737402184,4095
1698737402192,4095
1698737402200,4095
1698737402208,4095
1698737402216,4095
1698737402224,4095
1698737402232,4095
1698737402240,4095
1698737402248,4095
1698737402256,4095
1698737402264,4095
1698737402272,4095
1698737402280,4095
1698737402288,4095
1698737402296,4095
1698737402304,4095
1698737402312,4095
1698737402320,4095
1698737402328,4095
1698737402336,4095
1698737402344,4095
1698737402352,4095
1698737402360,4095
1698737402368,4095
1698737402376,4095
1698737402384,4095
1698737402392,4095
1698737402400,4095
1698737402408,4095
1698737402416,4095
1698737402424,4095
1698737402432,4095
1698737402440,4095
1698737402448,4095
1698737402456,4095
1698737402464,4095
1698737402472,4095
1698737402480,4095
1698737402488,4095
1698737402496,4095
1698737402504,4095
1698737402512,4095
1698737402520,4095
